ID,Species,yday,Hour,Day,Mass,deltaM,Temp,RH,VPD,gwc,WP,Rad_weighted,Shoot,Leaf,deltaM.Leaf,deltaM.Shoot,Batch,Group
Acaexu1,Acaexu,267,12,1,5899,7.091666667,25.45833333,72.68333333,0.889222059,0.086362978,-0.532941167,797.4169494,6.0147,2.924,2.425330597,1.179055758,14,Tree
Acaexu1,Acaexu,267,21,1,5845.075,0.183333333,23.375,87.95833333,0.345879412,0.079279947,-0.561980445,797.4169494,6.0147,2.924,0.062699498,0.030480877,14,Tree
Acaexu1,Acaexu,271,20,5,5486.466667,1.908333333,23.73333333,72.75833333,0.806538414,0.032176861,-0.964123146,797.4169494,6.0147,2.924,0.652644779,0.317278224,14,Tree
Acaexu1,Acaexu,269,5,3,5743.691667,0.141666667,23.41666667,97.65,0.067705664,0.06596328,-0.628339109,797.4169494,6.0147,2.924,0.048449612,0.023553405,14,Tree
Acaexu1,Acaexu,273,10,7,5434.666667,2.783333333,26,73.75833333,0.882213362,0.025372948,-1.116435966,797.4169494,6.0147,2.924,0.951892385,0.462755139,14,Tree
Acaexu1,Acaexu,271,18,5,5492.575,4.5,26.075,70.03333333,1.011782294,0.032979189,-0.949830277,797.4169494,6.0147,2.924,1.538987688,0.748166991,14,Tree
Acaexu1,Acaexu,268,16,2,5777.341667,8.783333333,25.86666667,70.8,0.973824061,0.070383196,-0.604265131,797.4169494,6.0147,2.924,3.003875969,1.460311127,14,Tree
Acaexu1,Acaexu,269,12,3,5705.566667,8.783333333,25.71666667,72.375,0.913110391,0.060955574,-0.658734801,797.4169494,6.0147,2.924,3.003875969,1.460311127,14,Tree
Acaexu1,Acaexu,269,19,3,5641.208333,8.833333333,26.06666667,70.56666667,0.993286011,0.052502128,-0.719854698,797.4169494,6.0147,2.924,3.020975832,1.468624093,14,Tree
Acaexu1,Acaexu,271,11,5,5527.85,5.566666667,25.96666667,74.125,0.867994229,0.037612548,-0.877588875,797.4169494,6.0147,2.924,1.90378477,0.925510278,14,Tree
Acaexu1,Acaexu,270,2,4,5635.441667,0.133333333,23.475,96.81666667,0.092040993,0.051744678,-0.726082026,797.4169494,6.0147,2.924,0.045599635,0.022167911,14,Tree
Acaexu1,Acaexu,267,0,1,5927.816667,0.158333333,23.5,95.88333333,0.11919935,0.090148038,-0.518768554,797.4169494,6.0147,2.924,0.054149567,0.026324394,14,Tree
Acaexu1,Acaexu,268,17,2,5768.416667,8.925,26.14166667,71.25833333,0.974224115,0.0692109,-0.610425918,797.4169494,6.0147,2.924,3.052325581,1.483864532,14,Tree
Acaexu1,Acaexu,269,20,3,5636.416667,4.791666667,23.73333333,73.125,0.79621621,0.051872744,-0.725019078,797.4169494,6.0147,2.924,1.63873689,0.796659296,14,Tree
Acaexu1,Acaexu,270,5,4,5635.041667,0.125,23.4,97.69166667,0.066436841,0.051692138,-0.726519309,797.4169494,6.0147,2.924,0.042749658,0.020782416,14,Tree
Acaexu1,Acaexu,269,16,3,5668.35,9.383333333,25.99166667,70.8,0.981053199,0.056067177,-0.692335775,797.4169494,6.0147,2.924,3.209074327,1.560066725,14,Tree
Acaexu1,Acaexu,273,12,7,5429.116667,2.783333333,26.5,71.66666667,0.980943084,0.024643958,-1.137169565,797.4169494,6.0147,2.924,0.951892385,0.462755139,14,Tree
